branch_id,function_name,category,r2_total,r2_between,r2_within_formula,r2_within_balance,r2_fwl,r2_swingup,r2_reset
108:109:111,memcpy:109→111,memcpy,0.9751988959608701,0.005158194685763395,0.9750703037340734,0.9937795511252557,0.9695967406711453,0.26920534175696087,0.4337459678928779
108:146:213,memcpy:146→213,memcpy,0.9751988959608701,0.005158194685763395,0.9750703037340734,0.9937795511252557,0.9695967406711453,0.26920534175696087,0.4337459678928779
108:104:106,memcpy:104→106,memcpy,0.9751977543155036,0.005161255186987845,0.9750690794726152,0.9937795511252557,0.9695933367098815,0.26851443874381853,0.4337459678928779
34:52:54,turn_on_with_delay:52→54,timer,0.9123654370695147,0.017554134831123336,0.9107996012427397,0.912646480597282,0.8905213169557253,0.6071740804760433,0.44618165759685746
34:19:46,turn_on_with_delay:19→46,timer,0.9123654370695147,0.017554134831123336,0.9107996012427397,0.912646480597282,0.8905213169557253,0.6071740804760433,0.44618165759685746
34:112:129,turn_on_with_delay:112→129,timer,0.9207919605172238,0.05061993706283252,0.9165686719418518,0.9184174762856636,0.8963494535976533,0.624306461179301,0.484447490804906
34:52:102,turn_on_with_delay:52→102,timer,0.9207919605172238,0.05061993706283252,0.9165686719418518,0.9184174762856636,0.8963494535976533,0.624306461179301,0.484447490804906
34:24:46,turn_on_with_delay:24→46,timer,0.9207919605172238,0.05061993706283252,0.9165686719418518,0.9184174762856636,0.8963494535976533,0.624306461179301,0.484447490804906
34:19:21,turn_on_with_delay:19→21,timer,0.9124089498151456,0.017640937058747252,0.9108360135421355,0.9126412800249725,0.8904780911710852,0.6074657060860557,0.44618165759685746
108:386:388,memcpy:386→388,memcpy,0.937618840335215,0.02640171348392384,0.93592720886146,0.9720769696435587,0.9291469053560455,0.2239118887183713,0.3604015027793719
22:2093:2175,tick:2093→2175,tick/main,0.8950444700489778,0.8912943463734455,0.03449796354121015,0.21573530650985073,0.21892878770826651,1.0,1.0
40:281:316,pou_lqr_sim:281→316,LQR,0.9335983253498308,0.9611630531804541,-0.7097552739843747,0.20168956653448566,0.19880701845318993,1.0,1.0
40:44:85,pou_lqr_sim:44→85,LQR,0.9335983253498308,0.9611630531804541,-0.7097552739843747,0.20168956653448566,0.19880701845318993,1.0,1.0
22:1676:1806,tick:1676→1806,tick/main,0.9527195961613726,0.9991575151732885,0.0,-0.00583885956677288,0.006727087117496033,0.026089588494532134,-0.009870374225867229
22:1889:1930,tick:1889→1930,tick/main,0.9526834309887785,0.9990579153835718,0.0,-0.006898922073636848,0.010479716613032375,0.027090516250878327,-0.009870374225867229
108:489:491,memcpy:489→491,memcpy,0.9399926707974953,0.028549470901365837,0.9382291455868752,0.9756772811147619,0.9313316801762836,0.19966489390791187,0.2843398321412548
33:69:71,pou_main:69→71,tick/main,0.929950170367235,0.9990901657257666,0.0,-0.00569218018083939,-0.00033260590321471106,0.026089588494532134,-0.012317457997953252
33:118:259,pou_main:118→259,tick/main,0.929950170367235,0.9990901657257666,0.0,-0.00569218018083939,-0.00033260590321471106,0.026089588494532134,-0.012317457997953252
108:772:878,memcpy:772→878,memcpy,0.9211513852006277,0.026107135892770028,0.9190376912026632,0.9546737801763643,0.912407959839802,0.21774717526662868,0.35056910505479033
108:947:949,memcpy:947→949,memcpy,0.9211438207313063,0.026093640199536527,0.919031045977716,0.9546737801763643,0.9124049429697916,0.2176656781605194,0.35056910505479033
108:242:378,memcpy:242→378,memcpy,0.9785510108414566,0.011648890070986795,0.9782982090645055,0.9882988875229101,0.9721267070621452,0.3589542903158547,0.32738066788024
108:236:238,memcpy:236→238,memcpy,0.9785510108414566,0.011648890070986795,0.9782982090645055,0.9882988875229101,0.9721267070621452,0.3589542903158547,0.32738066788024
64:17:22,fmax:17→22,math,0.8606630877479835,0.9983216183945598,-82.01861257319447,-0.00663075479101205,0.015055392749016128,0.16266033711983574,-0.01248926508199455
63:8:10,fmin:8→10,math,0.8606630877479835,0.9983216183945598,-82.01861257319447,-0.00663075479101205,0.015055392749016128,0.16266033711983574,-0.01248926508199455
63:17:22,fmin:17→22,math,0.8606630877479835,0.9983216183945598,-82.01861257319447,-0.00663075479101205,0.015055392749016128,0.16266033711983574,-0.01248926508199455
64:8:10,fmax:8→10,math,0.8606630877479835,0.9983216183945598,-82.01861257319447,-0.00663075479101205,0.015055392749016128,0.16266033711983574,-0.01248926508199455
108:225:227,memcpy:225→227,memcpy,0.9781308678056668,0.011636696943667313,0.9778733871171593,0.9879259320912377,0.9717272127750303,0.36063159583062165,0.3268199688010155
108:489:992,memcpy:489→992,memcpy,0.9769076604322435,0.005504824243357742,0.9767798375188828,0.9831234114571408,0.97019518254122,0.6394576905490338,0.6057359685433453
108:386:412,memcpy:386→412,memcpy,0.9813270267041958,0.0059213355704020865,0.9812157991475264,0.9874849895432998,0.9744661472488007,0.6696692735986853,0.624974998161568
108:421:447,memcpy:421→447,memcpy,0.9767470436401291,0.005892561621807291,0.9766092119803407,0.9830218697315366,0.9699013413399848,0.6595658722234108,0.6209880056410335
108:456:482,memcpy:456→482,memcpy,0.9811868635769636,0.005915200038219992,0.9810749179307845,0.9873796621556682,0.9743468425737456,0.6704488628019262,0.624974998161568
22:1209:1636,tick:1209→1636,tick/main,0.6087350968378025,0.9968563208209674,-123.46082468332656,-0.006906400522441736,0.05497084424208798,0.7179296543159384,-0.012426965073721208
