# Controller + Math Edge Reference (318 edges)
# Generated from 30 sessions
# * = variable edge (std > 0.01)
# ====================================================================================================

## __rem_pio2 (func_id=72, 20 edges)
    40:281:283           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=26/30 | zero=0.0%
    40:281:316           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    40:299:301           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=26/30 | zero=0.0%
    40:314:340           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=26/30 | zero=0.0%

## pou_main (func_id=33, 19 edges)
    33:8:10              | mean=   3.00 | std=  0.00 | CV= 0.00 | range=[3,3] | sessions=1/30 | zero=0.0%
    33:15:51             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
  * 33:19:21             | mean=   1.66 | std=  0.62 | CV= 0.38 | range=[1,3] | sessions=1/30 | zero=0.0%
  * 33:19:46             | mean=   1.48 | std=  0.52 | CV= 0.35 | range=[1,3] | sessions=1/30 | zero=0.0%
    33:24:26             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
  * 33:24:46             | mean=   1.22 | std=  0.42 | CV= 0.34 | range=[1,2] | sessions=1/30 | zero=0.0%
  * 33:52:54             | mean=   1.48 | std=  0.52 | CV= 0.35 | range=[1,3] | sessions=1/30 | zero=0.0%
  * 33:52:102            | mean=   1.22 | std=  0.42 | CV= 0.34 | range=[1,2] | sessions=1/30 | zero=0.0%
  * 33:57:59             | mean=   1.08 | std=  0.27 | CV= 0.25 | range=[1,2] | sessions=1/30 | zero=0.0%
  * 33:57:102            | mean=   1.01 | std=  0.08 | CV= 0.08 | range=[1,2] | sessions=1/30 | zero=0.0%
    33:58:60             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    33:69:71             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    33:69:131            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
  * 33:71:73             | mean=   1.03 | std=  0.18 | CV= 0.18 | range=[1,2] | sessions=1/30 | zero=0.0%
    33:71:88             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
  * 33:112:114           | mean=   1.01 | std=  0.08 | CV= 0.08 | range=[1,2] | sessions=1/30 | zero=0.0%
  * 33:112:129           | mean=   1.22 | std=  0.42 | CV= 0.34 | range=[1,2] | sessions=1/30 | zero=0.0%
  * 33:116:118           | mean=   1.01 | std=  0.08 | CV= 0.08 | range=[1,2] | sessions=1/30 | zero=0.0%
    33:118:259           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%

## pou_standup_rel (func_id=39, 13 edges)
    39:44:46             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    39:44:85             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
